"Race/Ethnicity","Sex","Department","Age","Hourly Rate","Regular/Temporary","Employee Status"
"Black or African American","Female","Office of Economic Development and Special Events Office","36","47.54","R","Active"
"White","Female","Information Technology","46","70.93","R","Active"
"Hispanic or Latino/a/x","Female","Ethics and Elections Commissions","47","40.78","T","Active"
"White","Male","Information Technology","33","69.16","R","Active"
"Asian","Male","Seattle Municipal Courts","47","85.28","R","Active"
"White","Male","Legislative Department","34","43.10","R","Active"
"Asian","Male","Parks and Recreation Department","17","25.98","T","Active"
"Hispanic or Latino/a/x","Female","Seattle Police Department","24","34.33","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","44","33.13","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","53","60.21","R","Active"
"White","Female","Seattle Public Utilities","54","33.13","R","Leave with Pay"
"White","Female","Seattle Public Utilities","29","58.45","R","Active"
"White","Female","Seattle Public Utilities","45","47.54","R","Active"
"Black or African American","Female","Parks and Recreation Department","20","25.98","T","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","31","34.33","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","43","46.10","R","Active"
"White","Female","Seattle Department of Transportation","27","63.13","R","Active"
"White","Female","Seattle Department of Transportation","35","75.13","R","Active"
"White","Female","Human Services","41","43.43","R","Active"
"White","Female","Human Services","48","43.43","R","Active"
"Black or African American","Male","Human Services","34","43.43","R","Active"
"White","Male","Parks and Recreation Department","17","25.98","T","Active"
"Asian","Female","Finance and Administrative Service","52","48.25","R","Leave with Pay"
"Black or African American","Female","Seattle Municipal Courts","44","56.48","R","Active"
"White","Female","Community Police Commission","50","72.00","R","Active"
"Two or More Races","Male","Parks and Recreation Department","20","25.98","T","Active"
"Hispanic or Latino/a/x","Male","Parks and Recreation Department","18","25.98","T","Active"
"White","Male","Human Services","56","43.43","R","Active"
"Black or African American","Female","Human Services","26","41.07","T","Active"
"American Indian or Alaska Native","Male","Human Services","29","46.89","R","Active"
"Black or African American","Female","Human Services","45","48.67","R","Active"
"Black or African American","Male","Seattle Department of Transportation","35","58.64","T","Active"
"Asian","Male","Seattle City Light","38","77.78","R","Active"
"Asian","Female","Seattle City Light","28","68.89","R","Active"
"Black or African American","Male","Seattle City Light","52","74.00","R","Active"
"Asian","Male","Parks and Recreation Department","18","25.98","T","Active"
"Hispanic or Latino/a/x","Female","Parks and Recreation Department","17","25.98","T","Active"
"Not Specified","Female","Human Services","27","34.33","R","Active"
"White","Male","Seattle Department of Transportation","30","36.63","R","Active"
"Black or African American","Male","Parks and Recreation Department","21","25.98","T","Active"
"Black or African American","Male","Seattle Police Department","51","173.31","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Police Department","32","49.78","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Police Department","30","49.78","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","38","49.78","R","Active"
"Black or African American","Female","Neighborhoods","26","49.46","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","24","49.78","R","Active"
"White","Male","Law Department","36","72.33","R","Active"
"White","Female","Law Department","31","54.40","R","Leave with Pay"
"Black or African American","Female","Human Services","38","43.43","R","Active"
"White","Male","Seattle City Light","55","71.69","R","Active"
"Black or African American","Female","Office of Economic Development and Special Events Office","29","60.49","R","Active"
"Black or African American","Male","Seattle Public Utilities","47","52.09","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Public Utilities","47","37.82","R","Active"
"White","Male","Parks and Recreation Department","33","25.98","R","Active"
"White","Female","Ethics and Elections Commissions","38","41.62","T","Active"
"Asian","Female","Law Department","39","79.44","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","29","51.74","R","Active"
"Two or More Races","Female","Law Department","36","36.92","R","Active"
"Asian","Male","Seattle Police Department","38","49.78","R","Active"
"Asian","Male","Seattle Public Utilities","29","75.13","R","Active"
"Asian","Female","Finance and Administrative Service","27","33.61","R","Active"
"Asian","Female","Seattle City Light","42","49.37","R","Active"
"Asian","Female","Law Department","35","51.33","R","Active"
"Black or African American","Female","Seattle City Light","38","37.99","T","Active"
"Not Specified","Male","Seattle Center","42","25.98","T","Active"
"Asian","Male","Seattle Police Department","28","35.77","R","Active"
"White","Male","Seattle Public Utilities","52","31.95","R","Active"
"White","Male","Seattle Public Utilities","55","31.95","R","Active"
"Hispanic or Latino/a/x","Female","Finance and Administrative Service","39","33.61","R","Active"
"Asian","Female","Seattle Public Utilities","34","31.95","R","Active"
"White","Female","Seattle Police Department","35","35.77","R","Active"
"Asian","Male","Seattle Public Utilities","46","31.95","R","Active"
"White","Male","Seattle Police Department","57","33.59","R","Active"
"White","Male","Seattle Police Department","45","33.59","R","Active"
"Hispanic or Latino/a/x","Male","Planning and Community Office","35","65.00","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Police Department","44","33.59","R","Active"
"Black or African American","Male","Seattle Police Department","22","35.77","R","Active"
"White","Male","Seattle City Light","40","33.61","T","Active"
"White","Male","Seattle Department of Transportation","46","76.46","R","Active"
"White","Female","Seattle City Light","48","77.78","R","Active"
"White","Male","Seattle Police Department","24","35.77","R","Active"
"White","Male","Seattle Department of Transportation","33","63.13","R","Active"
"Asian","Male","Seattle Public Library","36","77.07","R","Active"
"Asian","Female","Seattle City Light","50","81.42","R","Active"
"Asian","Male","Parks and Recreation Department","19","25.98","T","Active"
"White","Male","Seattle Police Department","43","49.78","R","Active"
"Asian","Male","Seattle Police Department","34","60.87","R","Active"
"Asian","Male","Seattle City Light","43","77.00","R","Active"
"White","Female","Community Safety and Communication Center","37","39.88","R","Active"
"White","Female","Seattle Public Library","40","29.85","R","Active"
"White","Male","Seattle Public Library","25","27.25","R","Active"
"White","Female","Education and Early Learning","28","58.64","R","Active"
"White","Female","Parks and Recreation Department","17","25.98","T","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","37","49.68","T","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","35","49.78","R","Active"
"Asian","Female","Seattle Police Department","27","49.78","R","Active"
"White","Male","Seattle City Light","31","74.00","R","Active"
"Asian","Male","Parks and Recreation Department","20","25.98","T","Active"
"White","Male","Seattle City Light","46","79.68","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","27","49.78","R","Active"
"Asian","Female","Finance and Administrative Service","28","33.61","R","Active"
"Asian","Female","Finance and Administrative Service","33","33.61","R","Active"
"Asian","Male","Seattle Department of Transportation","23","49.37","R","Active"
"White","Male","Seattle City Light","35","62.48","R","Active"
"White","Male","Seattle City Light","32","71.69","R","Active"
"White","Female","Community Safety and Communication Center","37","39.88","R","Active"
"White","Male","Community Safety and Communication Center","29","39.88","R","Active"
"Asian","Male","Community Safety and Communication Center","25","39.88","R","Active"
"White","Male","Community Safety and Communication Center","35","39.88","R","Active"
"Two or More Races","Female","Community Safety and Communication Center","27","39.88","R","Active"
"White","Female","Parks and Recreation Department","17","25.98","T","Active"
"White","Female","Community Safety and Communication Center","33","53.27","R","Active"
"Hispanic or Latino/a/x","Male","Community Safety and Communication Center","45","53.27","R","Active"
"Black or African American","Male","Community Safety and Communication Center","37","43.18","R","Active"
"White","Male","Office of Economic Development and Special Events Office","45","76.46","R","Active"
"Hispanic or Latino/a/x","Male","Parks and Recreation Department","40","20.76","T","Active"
"Black or African American","Male","Parks and Recreation Department","45","20.76","T","Active"
"Hispanic or Latino/a/x","Female","Law Department","30","42.34","R","Active"
"White","Male","Finance and Administrative Service","43","56.48","R","Active"
"Asian","Female","City Auditor's Office","34","91.52","R","Active"
"Black or African American","Female","Human Services","61","43.43","R","Active"
"White","Male","Seattle City Light","41","47.83","R","Active"
"Black or African American","Female","Community Safety and Communication Center","53","53.27","R","Active"
"Black or African American","Male","Community Safety and Communication Center","45","53.27","R","Active"
"White","Male","Community Safety and Communication Center","25","43.18","R","Active"
"Hispanic or Latino/a/x","Male","Finance and Administrative Service","41","52.95","R","Active"
"White","Female","Parks and Recreation Department","18","25.98","T","Active"
"White","Male","Sustainability and Environment","32","56.48","R","Active"
"Black or African American","Female","Human Services","59","43.43","R","Active"
"Asian","Female","Community Safety and Communication Center","43","57.54","R","Active"
"White","Male","Community Safety and Communication Center","39","43.18","R","Active"
"Asian","Female","Legislative Department","44","50.08","R","Active"
"White","Female","Construction and Inspections","36","76.02","R","Active"
"White","Male","Seattle Police Department","34","44.09","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Parks and Recreation Department","27","20.76","T","Active"
"Black or African American","Male","Seattle Public Utilities","52","78.77","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Parks and Recreation Department","46","20.76","T","Active"
"Asian","Female","Seattle Public Utilities","39","49.21","R","Active"
"Asian","Male","Parks and Recreation Department","22","25.98","T","Active"
"White","Male","Parks and Recreation Department","33","20.76","T","Active"
"White","Male","Parks and Recreation Department","35","20.76","T","Active"
"White","Male","Law Department","26","48.41","R","Active"
"Asian","Female","Parks and Recreation Department","43","33.78","T","Active"
"Two or More Races","Male","Legislative Department","32","62.26","R","Active"
"Asian","Male","Parks and Recreation Department","17","25.98","T","Active"
"White","Female","Parks and Recreation Department","17","25.98","T","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","23","21.78","T","Active"
"Asian","Female","Seattle Department of Transportation","24","31.95","T","Active"
"Black or African American","Female","Seattle City Light","54","39.54","T","Active"
"White","Male","Seattle City Light","27","47.54","R","Active"
"White","Male","Finance and Administrative Service","63","70.00","R","Active"
"Asian","Male","Seattle Public Library","22","28.37","R","Active"
"White","Female","Seattle Department of Transportation","29","75.13","R","Active"
"White","Female","Seattle City Light","35","64.62","R","Active"
"Two or More Races","Male","Seattle City Light","27","51.83","R","Active"
"White","Male","Seattle City Light","35","73.49","R","Active"
"White","Male","Parks and Recreation Department","18","25.98","T","Active"
"Not Specified","Female","Seattle Department of Transportation","28","21.78","T","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","25","51.83","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Public Library","33","29.85","R","Active"
"Asian","Female","Civil Rights Office","36","58.20","R","Leave with Pay"
"Two or More Races","Female","Human Resources","50","40.78","R","Active"
"White","Male","Seattle City Light","21","51.83","R","Active"
"White","Female","Seattle Department of Transportation","21","21.78","T","Active"
"Native Hawaiian or Other Pacific Islander","Female","Seattle Department of Transportation","48","31.95","T","Active"
"White","Male","Seattle City Light","56","71.69","R","Active"
"Asian","Male","Community Safety and Communication Center","32","69.50","T","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","37","42.55","R","Active"
"White","Male","Seattle Department of Transportation","52","42.55","R","Active"
"Asian","Male","Finance and Administrative Service","44","95.79","R","Active"
"White","Male","Seattle Department of Transportation","26","26.71","T","Active"
"White","Female","Legislative Department","55","45.50","R","Active"
"White","Male","Seattle Department of Transportation","33","45.23","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","27","39.46","R","Active"
"White","Male","Parks and Recreation Department","17","25.98","T","Active"
"White","Male","Human Services","51","57.20","R","Active"
"White","Male","Seattle Police Department","32","49.78","R","Active"
"Black or African American","Female","Office of Economic Development and Special Events Office","29","41.62","T","Leave with Pay"
"Black or African American","Male","Seattle Department of Transportation","41","39.21","R","Active"
"White","Male","Seattle Police Department","38","49.78","R","Active"
"White","Male","Seattle Police Department","28","60.87","R","Active"
"Two or More Races","Male","Seattle Department of Transportation","26","39.46","R","Active"
"Asian","Female","Parks and Recreation Department","26","25.98","T","Active"
"White","Male","Seattle Police Department","28","49.78","R","Active"
"White","Male","Seattle City Light","25","51.83","R","Active"
"White","Male","Seattle Police Department","28","49.78","R","Active"
"White","Male","Seattle City Light","29","62.14","R","Active"
"White","Male","Seattle City Light","21","51.83","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","33","51.83","R","Active"
"White","Female","Seattle Center","54","42.34","R","Active"
"White","Female","Seattle Department of Transportation","28","56.48","R","Active"
"White","Male","Seattle Fire Department","24","42.06","R","Active"
"White","Male","Seattle Fire Department","33","42.06","R","Active"
"White","Male","Seattle Fire Department","33","42.06","R","Active"
"White","Male","Seattle Fire Department","24","39.58","R","Active"
"White","Male","Seattle Fire Department","27","42.06","R","Active"
"White","Male","Sustainability and Environment","30","58.64","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","40","39.46","R","Active"
"Asian","Male","Seattle Fire Department","26","42.06","R","Active"
"White","Male","Seattle Fire Department","43","42.06","R","Active"
"White","Male","Seattle Fire Department","26","42.06","R","Active"
"White","Male","Seattle Fire Department","38","42.06","R","Active"
"White","Male","Seattle Fire Department","27","42.06","R","Active"
"White","Male","Seattle Fire Department","32","42.06","R","Active"
"White","Male","Seattle Fire Department","30","42.06","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","32","39.21","R","Active"
"White","Male","Seattle Fire Department","38","42.06","R","Active"
"Asian","Male","Seattle Department of Transportation","31","72.38","R","Active"
"White","Male","Seattle Fire Department","28","42.06","R","Active"
"Black or African American","Male","Seattle Fire Department","27","39.58","R","Active"
"White","Male","Seattle Fire Department","30","42.06","R","Active"
"White","Male","Seattle Fire Department","25","42.06","R","Active"
"White","Male","Seattle Fire Department","29","42.06","R","Active"
"White","Male","Seattle Fire Department","34","42.06","R","Active"
"White","Male","Seattle Public Utilities","31","46.40","R","Active"
"White","Male","Seattle Public Utilities","31","77.99","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","29","37.03","R","Active"
"White","Female","Seattle Public Utilities","49","34.46","R","Active"
"Black or African American","Male","Seattle Public Utilities","34","21.70","R","Active"
"White","Female","Seattle Center","57","40.24","R","Active"
"White","Male","Seattle Fire Department","33","42.06","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Fire Department","35","42.06","R","Active"
"Asian","Female","Seattle Public Utilities","45","56.48","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","45","40.97","R","Active"
"White","Male","Parks and Recreation Department","35","20.76","T","Active"
"White","Male","Seattle Public Utilities","23","41.85","R","Active"
"Black or African American","Male","Community Safety and Communication Center","25","43.18","R","Active"
"Not Specified","Male","Immigration and Refugee Affairs","32","52.96","R","Active"
"Two or More Races","Male","Seattle Public Utilities","36","40.97","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","35","36.63","T","Active"
"White","Male","Seattle Public Utilities","38","85.42","R","Active"
"Two or More Races","Male","Seattle Department of Transportation","54","36.63","R","Active"
"American Indian or Alaska Native","Female","Seattle Public Utilities","44","78.00","R","Active"
"White","Female","Seattle City Light","44","69.59","R","Active"
"Two or More Races","Female","Parks and Recreation Department","36","32.31","R","Active"
"Asian","Female","Seattle Public Utilities","43","50.27","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","29","40.97","R","Active"
"White","Female","Law Department","47","61.11","R","Active"
"Two or More Races","Female","Parks and Recreation Department","59","76.62","R","Active"
"White","Female","Seattle Department of Transportation","31","54.02","R","Active"
"White","Female","Seattle City Light","43","68.27","R","Active"
"Black or African American","Male","Seattle Public Library","54","35.21","R","Active"
"White","Male","Seattle Police Department","21","49.78","R","Active"
"White","Male","Seattle Police Department","51","49.78","R","Active"
"White","Female","Seattle City Light","32","70.00","R","Active"
"Two or More Races","Male","Parks and Recreation Department","18","25.98","T","Active"
"Black or African American","Male","Seattle Department of Transportation","35","38.73","T","Active"
"American Indian or Alaska Native","Non-Specified","Seattle Public Library","31","29.85","R","Active"
"White","Male","Seattle City Light","49","79.66","R","Active"
"White","Male","Seattle City Light","41","33.61","T","Active"
"Black or African American","Male","Seattle Police Department","22","49.78","R","Active"
"White","Male","Seattle City Light","38","49.37","R","Active"
"White","Female","Law Department","59","35.06","R","Active"
"White","Male","Seattle Police Department","25","49.78","R","Active"
"White","Male","Seattle Police Department","31","49.78","R","Active"
"White","Male","Parks and Recreation Department","50","25.98","T","Active"
"White","Female","Community Police Commission","42","62.40","R","Active"
"Native Hawaiian or Other Pacific Islander","Non-Specified","Community Police Commission","39","49.46","R","Active"
"White","Female","Seattle Public Library","28","28.37","R","Active"
"White","Female","Parks and Recreation Department","19","25.98","T","Active"
"White","Male","Seattle Public Utilities","22","35.48","R","Active"
"American Indian or Alaska Native","Male","Seattle Public Utilities","25","35.48","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","41","35.48","R","Active"
"White","Female","Parks and Recreation Department","17","25.98","T","Active"
"Asian","Male","Parks and Recreation Department","16","25.98","T","Active"
"White","Male","Seattle Public Utilities","40","77.00","R","Active"
"White","Female","Seattle City Light","44","44.33","R","Active"
"White","Female","Parks and Recreation Department","35","25.98","T","Active"
"American Indian or Alaska Native","Male","Seattle Public Utilities","21","35.48","R","Active"
"White","Male","Seattle City Light","40","64.47","R","Active"
"White","Male","Seattle Public Utilities","41","35.48","R","Active"
"Black or African American","Male","Seattle Public Utilities","33","35.48","R","Active"
"White","Male","Seattle Public Utilities","34","35.48","R","Active"
"Hispanic or Latino/a/x","Male","Parks and Recreation Department","26","36.63","R","Active"
"Asian","Male","Seattle Public Utilities","30","35.48","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","36","35.48","R","Leave with Pay"
"White","Male","Seattle Department of Transportation","23","26.71","T","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","25","33.13","R","Active"
"American Indian or Alaska Native","Female","Seattle Public Utilities","33","35.48","R","Active"
"Asian","Female","Parks and Recreation Department","16","25.98","T","Active"
"Asian","Female","Seattle Public Utilities","39","56.19","R","Active"
"White","Male","Seattle Department of Transportation","29","38.42","T","Active"
"White","Female","Human Services","47","54.78","R","Active"
"White","Male","Parks and Recreation Department","73","25.98","T","Active"
"Asian","Male","Seattle Public Utilities","51","81.50","R","Active"
"Asian","Female","Seattle Public Utilities","44","85.00","R","Active"
"Asian","Female","Seattle Department of Transportation","36","75.13","R","Active"
"White","Male","Seattle Public Utilities","45","40.89","T","Active"
"White","Male","Information Technology","42","65.56","R","Active"
"White","Female","Human Services","24","43.18","R","Active"
"White","Female","Parks and Recreation Department","24","25.98","T","Active"
"Asian","Female","Seattle City Light","28","58.64","T","Leave with Pay"
"White","Male","Seattle City Light","43","49.34","R","Active"
"Black or African American","Male","Seattle Police Department","37","53.39","R","Active"
"White","Male","Seattle Police Department","45","49.78","R","Active"
"White","Male","Seattle Police Department","24","49.78","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","37","41.46","R","Active"
"Not Specified","Female","Seattle Department of Transportation","36","47.54","T","Active"
"Hispanic or Latino/a/x","Male","Neighborhoods","32","46.78","R","Active"
"Asian","Female","Seattle Department of Transportation","39","38.42","R","Active"
"White","Male","Seattle Police Department","64","49.78","R","Active"
"Black or African American","Female","Seattle Police Department","31","49.78","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","45","41.46","R","Active"
"Black or African American","Female","Education and Early Learning","34","62.35","R","Active"
"White","Male","Seattle City Light","56","36.92","R","Active"
"White","Male","Seattle City Light","30","71.69","R","Active"
"Asian","Male","Seattle City Light","24","81.10","R","Active"
"White","Male","Seattle City Light","45","59.14","R","Active"
"White","Male","Human Services","35","87.00","R","Active"
"White","Male","Seattle Public Library","34","28.57","R","Active"
"Black or African American","Male","Seattle Public Library","44","27.98","R","Active"
"White","Male","Seattle Public Utilities","62","36.63","T","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","30","49.78","R","Active"
"Black or African American","Male","Seattle Police Department","27","38.16","R","Active"
"White","Male","Seattle Police Department","29","49.78","R","Active"
"White","Female","Human Services","35","70.00","R","Active"
"Two or More Races","Male","Human Services","38","43.43","R","Active"
"Hispanic or Latino/a/x","Male","Human Services","28","43.43","R","Active"
"White","Male","Legislative Department","26","37.25","R","Active"
"White","Male","Human Resources","41","56.48","R","Active"
"White","Male","Parks and Recreation Department","17","25.98","T","Active"
"Hispanic or Latino/a/x","Female","Seattle Municipal Courts","47","37.37","R","Active"
"White","Male","Seattle Police Department","27","61.00","R","Active"
"White","Female","Parks and Recreation Department","17","25.98","T","Active"
"White","Male","Parks and Recreation Department","18","25.98","T","Active"
"Asian","Male","Seattle Department of Transportation","37","75.13","R","Active"
"Black or African American","Male","Seattle Center","64","40.24","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","29","58.64","R","Active"
"White","Female","Parks and Recreation Department","16","25.98","T","Active"
"Black or African American","Female","Parks and Recreation Department","42","93.00","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","34","46.40","R","Active"
"White","Female","Parks and Recreation Department","18","25.98","T","Active"
"Asian","Male","Finance and Administrative Service","42","47.66","R","Active"
"American Indian or Alaska Native","Female","Seattle Municipal Courts","38","37.77","R","Active"
"White","Male","Seattle City Light","39","59.14","R","Active"
"Asian","Female","Neighborhoods","52","59.34","R","Active"
"American Indian or Alaska Native","Female","Human Services","56","43.43","R","Active"
"Not Specified","Male","Parks and Recreation Department","17","25.98","T","Active"
"Asian","Male","Seattle Public Library","35","28.37","R","Active"
"Black or African American","X","Seattle Public Library","25","28.37","R","Active"
"White","Male","Seattle City Light","31","36.63","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","35","49.78","R","Active"
"Black or African American","Female","Parks and Recreation Department","24","32.31","T","Active"
"White","Male","Seattle City Light","33","74.23","R","Active"
"White","Female","Seattle City Light","41","39.87","R","Active"
"White","Male","Seattle Public Library","31","29.85","R","Active"
"Two or More Races","Male","Seattle Public Library","37","29.85","R","Active"
"Asian","Male","Seattle City Light","56","154.40","R","Active"
"White","Male","Seattle Department of Transportation","29","53.76","R","Active"
"White","Female","Parks and Recreation Department","40","32.90","T","Active"
"White","Female","Parks and Recreation Department","16","25.98","T","Active"
"White","Male","Seattle Police Department","34","49.78","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","29","30.86","T","Active"
"White","Female","Seattle Public Library","27","29.85","R","Active"
"White","Male","Seattle Public Library","30","29.85","R","Active"
"White","Female","Seattle City Light","29","34.34","R","Active"
"Hispanic or Latino/a/x","Male","Parks and Recreation Department","39","25.98","T","Active"
"White","Male","Seattle Police Department","65","145.20","R","Active"
"Two or More Races","Male","Parks and Recreation Department","24","25.98","T","Active"
"White","Male","Seattle Police Department","29","49.78","R","Active"
"Asian","Male","Seattle Police Department","33","49.78","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","24","49.78","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","33","49.78","R","Active"
"Black or African American","Female","Human Services","36","40.00","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","22","49.78","R","Active"
"White","Male","Seattle Police Department","33","49.78","R","Active"
"Black or African American","Male","Seattle Police Department","26","49.78","R","Active"
"Two or More Races","Male","Information Technology","33","88.83","R","Active"
"White","Female","Seattle Department of Transportation","34","39.87","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Parks and Recreation Department","32","36.63","R","Active"
"White","Male","Finance and Administrative Service","46","47.66","R","Active"
"Asian","Male","Parks and Recreation Department","56","25.98","T","Active"
"White","Female","Human Services","42","46.89","R","Active"
"White","Female","Mayor's Office","30","62.50","R","Active"
"White","Male","Parks and Recreation Department","33","33.13","T","Active"
"Hispanic or Latino/a/x","Female","Parks and Recreation Department","23","32.90","T","Active"
"Hispanic or Latino/a/x","Female","Housing Office","33","40.00","R","Active"
"White","Male","Finance and Administrative Service","22","34.65","R","Leave with Pay"
"White","Male","Finance and Administrative Service","26","45.88","R","Active"
"White","Female","Housing Office","41","47.54","R","Active"
"White","Male","Seattle Public Utilities","22","21.70","R","Active"
"Two or More Races","Female","Seattle Police Department","32","49.46","R","Active"
"Asian","Male","Seattle Public Utilities","37","72.00","R","Active"
"White","Male","Seattle Department of Transportation","27","58.45","R","Active"
"Two or More Races","Female","Seattle Department of Transportation","30","56.19","R","Active"
"White","Female","Human Services","43","75.00","T","Active"
"White","Female","Parks and Recreation Department","17","25.98","T","Active"
"Two or More Races","Male","Seattle Public Library","41","41.85","R","Active"
"Asian","Male","Seattle Public Library","26","29.85","R","Active"
"Two or More Races","Female","Parks and Recreation Department","19","25.98","T","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","31","49.78","R","Active"
"White","Male","Seattle Public Utilities","27","30.86","T","Active"
"Asian","Female","Seattle Public Utilities","42","49.91","R","Active"
"White","Male","Seattle Department of Transportation","31","39.21","R","Active"
"White","Male","Seattle Department of Transportation","29","39.21","R","Active"
"Asian","Male","Seattle Public Library","63","27.98","R","Active"
"Asian","Non-Specified","Seattle Public Library","30","45.51","R","Active"
"White","Non-Specified","Seattle City Light","38","52.45","R","Active"
"White","Male","Seattle Center","37","34.34","R","Active"
"White","Male","Seattle Police Department","34","49.78","R","Active"
"White","Male","Seattle Police Department","41","60.87","R","Active"
"White","Female","Parks and Recreation Department","18","25.98","T","Active"
"Asian","Male","Seattle Department of Transportation","32","39.21","R","Active"
"White","Female","Finance and Administrative Service","30","44.01","R","Active"
"White","Male","Parks and Recreation Department","60","25.98","T","Active"
"Asian","Male","Seattle Police Department","31","49.78","R","Active"
"White","Male","Seattle Police Department","25","49.78","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","36","49.78","R","Active"
"Black or African American","Male","Seattle Police Department","33","55.81","R","Active"
"White","Female","Seattle Public Utilities","40","32.77","T","Active"
"Asian","Male","Seattle Public Utilities","50","30.86","T","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","22","32.77","T","Active"
"White","Male","Parks and Recreation Department","17","25.98","T","Active"
"Black or African American","Female","Finance and Administrative Service","34","33.61","R","Active"
"White","Male","Seattle Public Utilities","26","49.46","R","Active"
"White","Female","Finance and Administrative Service","50","46.28","R","Active"
"White","Male","Parks and Recreation Department","32","36.63","R","Active"
"Hispanic or Latino/a/x","Male","Finance and Administrative Service","27","47.66","R","Active"
"White","Male","Seattle City Light","22","21.78","T","Active"
"White","Male","Parks and Recreation Department","17","25.98","T","Active"
"Asian","Female","Seattle Police Department","48","45.74","R","Active"
"White","Male","Seattle Police Department","52","47.54","R","Active"
"White","Male","Seattle Public Utilities","29","29.53","T","Active"
"White","Female","Seattle Police Department","48","47.54","R","Active"
"White","Male","Seattle City Light","31","77.36","R","Active"
"Asian","Female","Seattle City Light","21","21.78","T","Active"
"Asian","Female","Construction and Inspections","33","49.46","R","Active"
"Asian","Female","Parks and Recreation Department","30","52.13","R","Active"
"White","Female","Parks and Recreation Department","32","32.90","T","Active"
"Asian","Female","Seattle Municipal Courts","53","37.37","R","Active"
"White","Male","Seattle City Light","36","51.83","R","Active"
"White","Male","Seattle Public Utilities","22","29.53","T","Active"
"White","Male","Seattle City Light","26","77.36","R","Active"
"Black or African American","Female","Human Services","28","37.99","R","Active"
"Two or More Races","Female","Parks and Recreation Department","16","25.98","T","Active"
"Asian","Male","Seattle City Light","24","28.44","T","Active"
"Asian","Male","Seattle City Light","30","62.48","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Parks and Recreation Department","19","36.63","R","Active"
"White","Female","Information Technology","39","68.50","R","Active"
"Two or More Races","Male","Parks and Recreation Department","41","50.23","R","Active"
"White","Male","Seattle Center","37","34.34","R","Active"
"Asian","Male","Seattle City Light","50","71.65","R","Active"
"White","Female","Seattle Public Utilities","28","45.74","R","Active"
"White","Male","Seattle Public Utilities","29","29.53","T","Active"
"White","Female","Finance and Administrative Service","37","68.00","R","Active"
"White","Female","Legislative Department","25","33.13","R","Active"
"White","Male","City Budget Office","36","70.00","T","Active"
"Black or African American","Female","Office of Arts and Culture","63","27.02","T","Active"
"Asian","Male","Seattle City Light","19","28.44","T","Active"
